Fecha,Cuadrante,Celda,Latitud,Longitud,Altitud,Nombre.provisional.morfo,de0a5.plantula,de5a10.de0a25,de10a15.de25a50,de15a20.de50a75,de20a25.de75a100,de25a30.de100a125,de30a35.de125a150,de35a40.de150a175,de40a45.de175a200,de45a50.de200a225,de50a55.de225a250,masde55.masde250,Floracion,Fructificacion,Colector.1,Numerodecoleccion_Plantula1,Colector.2,Numerodecoleccion_Plantula2,Colector.3,Numerodecoleccion_Plantula3,Colector.4,Numerodecoleccion_Adulto1,Colector.5,Numerodecoleccion_Adulto2,Colector.6,Numerodecoleccion_Adulto3,Repeticion
18-01-18,268,8184839,4.19994,-74.18583,3305,grandiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18-01-18,268,8184839,4.19994,-74.18583,3305,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18-01-18,268,8184839,4.19994,-74.18583,3305,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
18-01-18,268,8184839,4.19994,-74.18583,3305,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10-01-18,236,7386162,4.25389,-74.17944,3701,grandiflora,1,1,1,1,0,0,0,0,0,0,0,0,1,0,YAM,115,NA,NA,NA,NA,YAM,114,NA,NA,NA,NA,0
10-01-18,236,7386162,4.25389,-74.17944,3701,killipii,1,1,1,0,0,0,0,0,0,0,0,0,0,0,YAM,113,NA,NA,NA,NA,YAM,112,NA,NA,NA,NA,0
10-01-18,236,7386162,4.25389,-74.17944,3701,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10-01-18,236,7386162,4.25389,-74.17944,3701,argentea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10-01-18,236,7581759,4.24057,-74.18034,3648,grandiflora,1,1,1,1,1,1,1,0,0,0,0,0,1,0,YAM,102,NA,NA,NA,NA,YAM,101,NA,NA,NA,NA,0
10-01-18,236,7581759,4.24057,-74.18034,3648,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
